Designator,Mid X,Mid Y,Rotation,Layer
D1,131.0,-106.2,270.0,top
D2,128.0,-106.2,270.0,top
D3,125.0,-106.2,270.0,top
D4,122.0,-106.2,270.0,top
D5,119.0,-106.2,270.0,top
D6,116.0,-106.2,270.0,top
D7,113.0,-106.2,270.0,top
D8,110.0,-106.2,270.0,top
J1,147.9469,-82.6,0.0,top
J2,92.1653,-100.475,180.0,top
Q1,134.5,-100.6,270.0,top
Q2,130.5,-100.6,270.0,top
Q3,126.5,-100.6,270.0,top
Q4,122.5,-100.6,270.0,top
Q5,118.5,-100.6,270.0,top
Q6,114.5,-100.6,270.0,top
Q7,110.5,-100.6,270.0,top
Q8,106.5,-100.6,270.0,top
R1,125.75,-110.09,270.0,top
R10,144.9569,-84.5,180.0,top
R2,124.25,-110.09,270.0,top
R3,122.75,-110.09,270.0,top
R4,121.25,-110.1,270.0,top
R5,119.75,-110.09,270.0,top
R6,118.25,-110.09,270.0,top
R7,116.75,-110.09,270.0,top
R8,115.25,-110.09,270.0,top
R9,144.9369,-82.5,180.0,top
